document,"[[1, 1], [2, 1], [7, 1], [27, 1], [31, 1], [33, 1], [36, 1], [52, 1], [54, 1], [58, 1], [60, 1], [64, 1], [70, 1], [79, 1], [86, 1], [90, 1], [93, 1], [110, 1], [113, 1], [126, 1], [131, 1], [150, 1], [155, 1], [161, 1], [168, 1], [171, 1], [178, 1], [180, 1], [182, 1], [183, 1], [203, 1], [204, 1], [208, 1], [211, 1], [213, 1], [224, 1], [230, 1], [234, 1], [235, 1], [239, 1], [244, 1], [245, 1], [255, 1], [257, 1], [270, 1], [282, 1], [291, 1], [292, 1], [314, 1], [330, 1], [337, 1], [340, 1], [342, 1], [356, 1], [364, 1], [379, 1], [384, 1], [389, 1], [392, 1], [395, 1], [400, 1], [404, 1], [417, 1], [425, 1], [433, 1], [436, 1], [439, 1], [445, 1]]"
higher,"[[53, 1], [116, 1], [167, 1], [197, 1], [274, 1], [293, 1], [297, 1], [426, 1]]"
evid,"[[54, 1], [114, 1], [184, 1], [322, 1]]"
imagin,"[[338, 1], [398, 1]]"
I,"[[74, 1], [84, 1], [175, 1], [243, 1], [327, 1], [367, 1]]"
effect,"[[248, 1], [406, 1]]"
hand,"[[276, 1], [347, 1], [385, 1]]"
moment,"[[189, 1], [259, 1], [375, 1]]"
chang,"[[77, 1], [79, 1], [367, 1]]"
task,"[[406, 1]]"
older,"[[117, 1]]"
well,"[[21, 1], [36, 1], [82, 1], [103, 1], [192, 1], [209, 1], [216, 1], [235, 1], [255, 1], [262, 1], [271, 1], [291, 1], [299, 1], [325, 1], [336, 1], [361, 1], [405, 1], [430, 1]]"
It,"[[24, 1], [39, 1], [96, 1], [189, 1], [417, 1]]"
T,"[[428, 1], [439, 1]]"
thought,"[[34, 1], [305, 1]]"
exampl,"[[108, 1], [137, 1], [379, 1]]"
thi,"[[86, 1], [214, 1], [341, 1]]"
In,"[[52, 1], [69, 1], [70, 1], [117, 1], [135, 1], [161, 1], [260, 1], [279, 1], [346, 1], [389, 1], [405, 1]]"
the,"[[67, 1], [97, 1], [148, 1], [156, 1], [163, 1], [217, 1], [238, 1], [287, 1], [296, 1], [431, 1]]"
spend,"[[119, 1], [415, 1]]"
If,"[[347, 1]]"
paus,"[[189, 1]]"
human,"[[18, 1]]"
languag,"[[111, 2], [112, 1], [117, 1], [121, 1], [130, 1], [210, 1], [226, 1], [256, 1], [304, 1]]"
mix,"[[24, 1], [144, 1], [194, 1]]"
